0,0,000000000000,000,Silence,élément esthétique indispensable !,— —,#808080 
511,5,101000101001,081-3,"7(9,13b) sans 1!",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
512,5,101000101001,081-3,Non-classé,—,—,#FFA500 
513,5,101001101000,081-4,"7(9,13b) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
514,5,101001101000,081-4,"7,5#(9) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
515,5,110100010100,081-5,"m7M(9,11,13) sans 1! ni 5",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
516,5,100010110010,082-1,7(11#) • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
517,5,100101000101,082-2,"7(9,11,13b) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
518,5,100101000101,082-2,Non-classé,—,—,#FFA500 
519,5,101000101100,082-3,Non-classé,—,—,#FFA500 
520,5,101100101000,082-4,Non-classé,—,—,#FFA500 
521,5,110010100010,082-5,"7(9b,11#) sans 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
522,5,110010100010,082-5,"7,5b(9b) sans 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
523,5,100010010101,083-1,7M(13),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFA500 
524,5,100101011000,083-2,Shat,mode traditionnel Inde (raga),Gammes / modes traditionnels ,#FFA500 
525,5,101011000100,083-3,"7M(9,11#) sans 1! • lydien",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFA500 
526,5,101011000100,083-3,Non-classé,—,—,#FFA500 
527,5,101100010010,083-4,m7(9),chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
528,5,110001001010,083-5,Non-classé,—,—,#FFA500 
529,5,100011010100,084-1,"m7(9,11) sans 1!",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
530,5,100011010100,084-1,Non-classé,—,—,#FFA500 
531,5,100100011010,084-2,m7(13b) • aeolien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
532,5,101001000110,084-3,Non-classé,—,—,#FFA500 
533,5,101010010001,084-4,7M(9),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFA500 
534,5,101010010001,084-4,Hamsa-Dwani,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
535,5,110101001000,084-5,Non-classé,—,—,#FFA500 
536,5,100010101100,085-1,"7(9,11#) sans 1!",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
537,5,100010101100,085-1,Non-classé,—,—,#FFA500 
538,5,100100010101,085-2,Non-classé,—,—,#FFA500 
539,5,101011001000,085-3,"7(9,11#) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
540,5,101011001000,085-3,"7,5b(9) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
541,5,101100100010,085-4,Non-classé,—,—,#FFA500 
542,5,110010001010,085-5,"7(9b,13b) sans 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
543,5,110010001010,085-5,"7,5#(9b) sans 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
544,5,100010011010,086-1,7(13b) • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
545,5,100110101000,086-2,"7(9b,11) sans 1!",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
546,5,100110101000,086-2,Non-classé,—,—,#FFA500 
547,5,101000100110,086-3,Non-classé,—,—,#FFA500 
548,5,101010001001,086-4,Non-classé,—,—,#FFA500 
549,5,110101000100,086-5,Non-classé,—,—,#FFA500 
550,5,100010010110,087-1,7(13),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
551,5,100010010110,087-1,Pentarelatif VI-C,mode extrapolé (harmonie),Gammes / modes extrapolés,#FFA500 
552,5,100010010110,087-1,Boogie-woogie,mode moderne occidental,Gammes / modes modernes,#FFA500 
553,5,100101101000,087-2,"7(9b,9#,11#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
554,5,100101101000,087-2,Non-classé,—,—,#FFA500 
555,5,101000100101,087-3,Non-classé,—,—,#FFA500 
556,5,101101000100,087-4,Non-classé,—,—,#FFA500 
557,5,110100010010,087-5,m7(9b) sans 5 • phrygien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
558,5,100010110100,088-1,6(11#),chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
559,5,100010110100,088-1,Pentarelatif VI-B,mode extrapolé (harmonie),Gammes / modes extrapolés,#FFA500 
560,5,100100010110,088-2,m7(13) • dorien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
561,5,101001000101,088-3,"7(9,11) sans 1! • mixolydien",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
562,5,101001000101,088-3,Non-classé,—,—,#FFA500 
563,5,101101001000,088-4,Non-classé,—,—,#FFA500 
564,5,110100100010,088-5,"m7,5b(9b) • locrien",chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
565,5,100011001001,089-1,"7(9b,11,13) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
566,5,100011001001,089-1,Non-classé,—,—,#FFA500 
567,5,100100110001,089-2,Madhuvanti ascendant,mode traditionnel Inde (raga),Gammes / modes traditionnels ,#FFA500 
568,5,100110001100,089-3,Pentablues oriental,mode moderne occidental,Gammes / modes modernes,#FFA500 
569,5,110001100100,089-4,Non-classé,—,—,#FFA500 
570,5,110010011000,089-5,Non-classé,—,—,#FFA500 
571,5,100010011001,090-1,Non-classé,—,—,#FFA500 
572,5,100110001001,090-2,Non-classé,—,—,#FFA500 
573,5,100110011000,090-3,Non-classé,—,—,#FFA500 
574,5,110001001100,090-4,Non-classé,—,—,#FFA500 
575,5,110011000100,090-5,"m7M(9,11#) sans 1!",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
576,5,100011001100,091-1,Non-classé,—,—,#FFA500 
577,5,100100011001,091-2,Non-classé,—,—,#FFA500 
578,5,100110010001,091-3,7M(9#),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFA500 
579,5,110010001100,091-4,Non-classé,—,—,#FFA500 
580,5,110011001000,091-5,Non-classé,—,—,#FFA500 
581,5,100001101010,092-1,"7(9#,11#,13b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
582,5,100001101010,092-1,Non-classé,—,—,#FFA500 
583,5,101000011010,092-2,Penténigmatique,mode moderne occidental,Gammes / modes modernes,#FFA500 
584,5,101010000110,092-3,"7(9,13) sans 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
585,5,101010100001,092-4,"7M(9,11#) sans 5 • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
586,5,110101010000,092-5,Pentacorde Phrygien,mode moderne occidental,Gammes / modes modernes,#FFA500 
587,5,100001010101,093-1,Non-classé,—,—,#FFA500 
588,5,100001010101,093-1,Non-classé,—,—,#FFA500 
589,5,101010110000,093-2,"m7(11,13) sans 1! • dorien",chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
590,5,101010110000,093-2,Pentacorde Lydien,mode moderne occidental,Gammes / modes modernes,#FFA500 
591,5,101011000010,093-3,"7(9,11) sans 5 • mixolydien",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
592,5,101100001010,093-4,Non-classé,—,—,#FFA500 
593,5,110000101010,093-5,Non-classé,—,—,#FFA500 
594,5,100010110001,094-1,7M(11#) • lydien,chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
595,5,100010110001,094-1,Pentarelatif III-D,mode extrapolé (harmonie),Gammes / modes extrapolés,#FFA500 
596,5,100010110001,094-1,Chinois,mode traditionnel Chine,Gammes / modes traditionnels,#FFA500 
597,5,100011000101,094-2,Priti-Hindoli ascendant,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
598,5,100011000101,094-2,Kumoi-Joshi,mode traditionnel Japon,Gammes / modes traditionnels,#FFA500 
599,5,101100011000,094-3,"7(9,11,13) sans 1! ni 5 • mixolydien",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
600,5,101100011000,094-3,"m7(9,13) sans 1! • dorien",chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
601,5,101100011000,094-3,Non-classé,—,—,#FFA500 
602,5,110001011000,094-4,Enharmonique Genus,mode extrapolé (division octave),Gammes / modes extrapolés,#FFA500 
603,5,110001011000,094-4,Gunakali,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
604,5,110001011000,094-4,In descendant,mode traditionnel Japon,Gammes / modes traditionnels,#FFA500 
605,5,110001100010,094-5,Hira-Joshi,mode traditionnel Japon,Gammes / modes traditionnels,#FFA500 
606,5,110001100010,094-5,Iwato,mode traditionnel Japon,Gammes / modes traditionnels,#FFA500 
607,5,100011000110,095-1,"7(11,13) sans 5 • mixolydien",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
608,5,100011000110,095-1,Pentarelatif III-C,mode extrapolé (harmonie),Gammes / modes extrapolés,#FFA500 
609,5,100011000110,095-1,Lê-Byâdh,mode traditionnel Mauritanie,Gammes / modes traditionnels,#FFA500 
610,5,100011010001,095-2,7M(11) • ionien,chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
611,5,100011010001,095-2,Bihaga ascendant,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
612,5,100011010001,095-2,Karr,mode traditionnel Mauritanie,Gammes / modes traditionnels,#FFA500 
613,5,101000110001,095-3,Shudh-Sarang,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
614,5,101000110001,095-3,Lê-Khal,mode traditionnel Mauritanie,Gammes / modes traditionnels,#FFA500 
615,5,110001101000,095-4,Lê-Btayt,mode traditionnel Mauritanie,Gammes / modes traditionnels ,#FFA500 
616,5,110100011000,095-5,"m7(9,11,13) sans 1! ni 5 • dorien",chiffrage harmonique modal mineur,Accords modaux mineurs,#FFA500 
617,5,110100011000,095-5,Balinais,mode traditionnel Bali,Gammes / modes traditionnels,#FFA500 
618,5,110100011000,095-5,Bhupala,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
619,5,110100011000,095-5,Pelog,"mode traditionnel Java, Bali",Gammes / modes traditionnels,#FFA500 
620,5,110100011000,095-5,Fagû,mode traditionnel Mauritanie,Gammes / modes traditionnels,#FFA500 
621,5,100001010110,096-1,7sus4(13),chiffrage harmonique neutre,Accords neutres,#FFA500 
622,5,101000010101,096-2,Non-classé,—,—,#FFA500 
623,5,101011010000,096-3,Pentacorde Ionien,mode moderne occidental,Gammes / modes modernes,#FFA500 
624,5,101011010000,096-3,Pentacorde majeur,mode moderne occidental,Gammes / modes modernes,#FFA500 
625,5,101011010000,096-3,Pentacorde Mixolydien,mode moderne occidental,Gammes / modes modernes,#FFA500 
626,5,101101000010,096-4,"m7(9,11) sans 5",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
627,5,110100001010,096-5,Non-classé,—,—,#FFA500 
628,5,100001011010,097-1,"7M(11#,13) sans 1! • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
629,5,100001011010,097-1,Non-classé,—,—,#FFA500 
630,5,101000010110,097-2,Non-classé,—,—,#FFA500 
631,5,101010000101,097-3,"7M(9,13) sans 5",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFA500 
632,5,101101010000,097-4,"min(9,11)",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
633,5,101101010000,097-4,Pentacorde Aeolien,mode moderne occidental,Gammes / modes modernes,#FFA500 
634,5,101101010000,097-4,Pentacorde Dorien,mode moderne occidental,Gammes / modes modernes,#FFA500 
635,5,101101010000,097-4,Pentacorde mineur,mode moderne occidental,Gammes / modes modernes,#FFA500 
636,5,110101000010,097-5,Non-classé,—,—,#FFA500 
637,5,100001100101,098-1,"7(9#,13) sans 1!",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
638,5,100001100101,098-1,"7(9b,9#,13) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
639,5,100001100101,098-1,Non-classé,—,—,#FFA500 
640,5,100101100001,098-2,Non-classé,—,—,#FFA500 
641,5,101100001100,098-3,Non-classé,—,—,#FFA500 
642,5,110000110010,098-4,Non-classé,—,—,#FFA500 
643,5,110010110000,098-5,"7(9#,13) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
644,5,100001101001,099-1,"7(9#,11#,13) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
645,5,100001101001,099-1,Non-classé,—,—,#FFA500 
646,5,100110000110,099-2,"7(9#,13) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
647,5,101001100001,099-3,Non-classé,—,—,#FFA500 
648,5,110000110100,099-4,Non-classé,—,—,#FFA500 
649,5,110100110000,099-5,"7(9#,11#,13) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
650,5,100001011001,100-1,Non-classé,—,—,#FFA500 
651,5,100110000101,100-2,Non-classé,—,—,#FFA500 
652,5,101100110000,100-3,Non-classé,—,—,#FFA500 
653,5,110000101100,100-4,Non-classé,—,—,#FFA500 
654,5,110011000010,100-5,"7(9b,11) sans 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
655,5,100001100110,101-1,"7(9#,13b) sans 1! • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
656,5,100001100110,101-1,Non-classé,—,—,#FFA500 
657,5,100110100001,101-2,"7M(9#,11#) sans 5 • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
658,5,101000011001,101-3,Non-classé,—,—,#FFA500 
659,5,110011010000,101-4,"7,5#(9#) sans 1! • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
660,5,110011010000,101-4,Pentacorde byzantin,mode moderne occidental,Gammes / modes modernes,#FFA500 
661,5,110100001100,101-5,Non-classé,—,—,#FFA500 
662,5,100010010011,102-1,Pentarelatif III-B,mode extrapolé (harmonie),Gammes / modes extrapolés ,#FFA500 
663,5,100100111000,102-2,Non-classé,—,—,#FFA500 
664,5,100111000100,102-3,Non-classé,—,—,#FFA500 
665,5,110001001001,102-4,Non-classé,—,—,#FFA500 
666,5,111000100100,102-5,Non-classé,—,—,#FFA500 
667,5,100011100100,103-1,Non-classé,—,—,#FFA500 
668,5,100100011100,103-2,Non-classé,—,—,#FFA500 
669,5,100100100011,103-3,Non-classé,—,—,#FFA500 
670,5,110010010001,103-4,Pentarelatif III-A,mode extrapolé (harmonie),Gammes / modes extrapolés ,#FFA500 
671,5,111001001000,103-5,Non-classé,—,—,#FFA500 
672,5,100010001101,104-1,Non-classé,—,—,#FFA500 
673,5,100011011000,104-2,Pentachristophe,mode extrapolé (harmonie),Gammes / modes extrapolés,#FFA500 
674,5,100011011000,104-2,Ramakali ascendant,mode traditionnel Inde (raga),Gammes / modes traditionnels,#FFA500 
675,5,100011011000,104-2,Dan-Tranh,mode traditionnel Vietnam,Gammes / modes traditionnels,#FFA500 
676,5,101100010001,104-3,m7M(9),chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
677,5,110001000110,104-4,Non-classé,—,—,#FFA500 
678,5,110110001000,104-5,"7M(9#,11#) sans 1!",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFA500 
679,5,100010100011,105-1,Pentaquarte chromatique,mode moderne occidental,Gammes / modes modernes,#FFA500 
680,5,100010100011,105-1,Pentaquarte hémi,mode moderne occidental,Gammes / modes modernes,#FFA500 
681,5,100011100010,105-2,Non-classé,—,—,#FFA500 
682,5,101000111000,105-3,Non-classé,—,—,#FFA500 
683,5,110001010001,105-4,Non-classé,—,—,#FFA500 
684,5,111000101000,105-5,Non-classé,—,—,#FFA500 
685,5,100010011100,106-1,Pentarelatif VI-A,mode extrapolé (harmonie),Gammes / modes extrapolés ,#FFA500 
686,5,100100010011,106-2,Non-classé,—,—,#FFA500 
687,5,100111001000,106-3,Non-classé,—,—,#FFA500 
688,5,110010001001,106-4,Non-classé,—,—,#FFA500 
689,5,111001000100,106-5,Non-classé,—,—,#FFA500 
690,5,100001001101,107-1,Non-classé,—,—,#FFA500 
691,5,100110110000,107-2,Pentabinaire D,mode moderne occidental,Gammes / modes modernes,#FFA500 
692,5,101100001001,107-3,Non-classé,—,—,#FFA500 
693,5,110000100110,107-4,Non-classé,—,—,#FFA500 
694,5,110110000100,107-5,Non-classé,—,—,#FFA500 
695,5,100001101100,108-1,"7(9#,11#) sans 1! • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
696,5,100001101100,108-1,Non-classé,—,—,#FFA500 
697,5,100100001101,108-2,Non-classé,—,—,#FFA500 
698,5,101100100001,108-3,"m7M(9,11#) sans 5",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFA500 
699,5,110010000110,108-4,"7(9b,13) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
700,5,110110010000,108-5,"7,5b(9#) sans 1! • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
701,5,110110010000,108-5,Pentabinaire C,mode moderne occidental,Gammes / modes modernes,#FFA500 
702,5,100001010011,109-1,Non-classé,—,—,#FFA500 
703,5,100111000010,109-2,"7(9#,11) sans 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
704,5,101001110000,109-3,Non-classé,—,—,#FFA500 
705,5,110000101001,109-4,Non-classé,—,—,#FFA500 
706,5,111000010100,109-5,Non-classé,—,—,#FFA500 
707,5,100001110010,110-1,"7(9#,11,13b) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
708,5,100001110010,110-1,Non-classé,—,—,#FFA500 
709,5,100101000011,110-2,Non-classé,—,—,#FFA500 
710,5,101000011100,110-3,Non-classé,—,—,#FFA500 
711,5,110010100001,110-4,Non-classé,—,—,#FFA500 
712,5,111001010000,110-5,Non-classé,—,—,#FFA500 
713,5,100010001011,111-1,Non-classé,—,—,#FFA500 
714,5,100010111000,111-2,Non-classé,—,—,#FFA500 
715,5,101110001000,111-3,Non-classé,—,—,#FFA500 
716,5,110001000101,111-4,Non-classé,—,—,#FFA500 
717,5,111000100010,111-5,Non-classé,—,—,#FFA500 
718,5,100010001110,112-1,Non-classé,—,—,#FFA500 
719,5,100011101000,112-2,Non-classé,—,—,#FFA500 
720,5,101000100011,112-3,Non-classé,—,—,#FFA500 
721,5,110100010001,112-4,Non-classé,—,—,#FFA500 
722,5,111010001000,112-5,Non-classé,—,—,#FFA500 
723,5,100001001011,113-1,"7(9b,9#,11) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
724,5,100001001011,113-1,Non-classé,—,—,#FFA500 
725,5,100101110000,113-2,Non-classé,—,—,#FFA500 
726,5,101110000100,113-3,Non-classé,—,—,#FFA500 
727,5,110000100101,113-4,Non-classé,—,—,#FFA500 
728,5,111000010010,113-5,Non-classé,—,—,#FFA500 
729,5,100001110100,114-1,"7(9#,11) sans 1!",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
730,5,100001110100,114-1,Non-classé,—,—,#FFA500 
731,5,100100001110,114-2,Non-classé,—,—,#FFA500 
732,5,101001000011,114-3,Non-classé,—,—,#FFA500 
733,5,110100100001,114-4,Non-classé,—,—,#FFA500 
734,5,111010010000,114-5,Non-classé,—,—,#FFA500 
735,5,100001011100,115-1,Non-classé,—,—,#FFA500 
736,5,100100001011,115-2,Non-classé,—,—,#FFA500 
737,5,101110010000,115-3,Pentabinaire A,mode moderne occidental,Gammes / modes modernes,#FFA500 
738,5,110010000101,115-4,Non-classé,—,—,#FFA500 
739,5,111001000010,115-5,Non-classé,—,—,#FFA500 
740,5,100001001110,116-1,Non-classé,—,—,#FFA500 
741,5,100111010000,116-2,Pentabinaire B,mode moderne occidental,Gammes / modes modernes,#FFA500 
742,5,101000010011,116-3,Non-classé,—,—,#FFA500 
743,5,110100001001,116-4,Non-classé,—,—,#FFA500 
744,5,111010000100,116-5,Non-classé,—,—,#FFA500 
745,5,100000101101,117-1,"7(11#,13) sans 1!",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
746,5,100000101101,117-1,Non-classé,—,—,#FFA500 
747,5,101100000101,117-2,Non-classé,—,—,#FFA500 
748,5,101101100000,117-3,"7(11#,13) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
749,5,101101100000,117-3,"7,5b(13) sans 1! • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
750,5,110000010110,117-4,Non-classé,—,—,#FFA500 
751,5,110110000010,117-5,"7(9b,9#) sans 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
752,5,100001100011,118-1,Non-classé,—,—,#FFA500 
753,5,100011100001,118-2,Non-classé,—,—,#FFA500 
754,5,110000110001,118-3,Shri ascendant,mode traditionnel Inde (raga),Gammes / modes traditionnels ,#FFA500 
755,5,110001110000,118-4,Non-classé,—,—,#FFA500 
756,5,111000011000,118-5,Non-classé,—,—,#FFA500 
757,5,100001110001,119-1,"7(9#,11,13) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
758,5,100001110001,119-1,Non-classé,—,—,#FFA500 
759,5,100011000011,119-2,Non-classé,—,—,#FFA500 
760,5,110000111000,119-3,Non-classé,—,—,#FFA500 
761,5,110001100001,119-4,Non-classé,—,—,#FFA500 
762,5,111000110000,119-5,Non-classé,—,—,#FFA500 
763,5,100000110110,120-1,"7(11,13b) sans 1!",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
764,5,100000110110,120-1,Non-classé,—,—,#FFA500 
765,5,101000001101,120-2,Non-classé,—,—,#FFA500 
766,5,101101000001,120-3,Non-classé,—,—,#FFA500 
767,5,110100000110,120-4,Non-classé,—,—,#FFA500 
768,5,110110100000,120-5,Non-classé,—,—,#FFA500 
769,5,100000101011,121-1,Non-classé,—,—,#FFA500 
770,5,101011100000,121-2,Non-classé,—,—,#FFA500 
771,5,101110000010,121-3,Non-classé,—,—,#FFA500 
772,5,110000010101,121-4,Non-classé,—,—,#FFA500 
773,5,111000001010,121-5,Non-classé,—,—,#FFA500 
774,5,100000111010,122-1,Non-classé,—,—,#FFA500 
775,5,101000001110,122-2,Non-classé,—,—,#FFA500 
776,5,101010000011,122-3,Non-classé,—,—,#FFA500 
777,5,110101000001,122-4,Non-classé,—,—,#FFA500 
778,5,111010100000,122-5,Non-classé,—,—,#FFA500 
779,5,100000110011,123-1,Non-classé,—,—,#FFA500 
780,5,100111000001,123-2,Non-classé,—,—,#FFA500 
781,5,110000011001,123-3,Non-classé,—,—,#FFA500 
782,5,110011100000,123-4,Non-classé,—,—,#FFA500 
783,5,111000001100,123-5,Non-classé,—,—,#FFA500 
784,5,100000111001,124-1,Non-classé,—,—,#FFA500 
785,5,100110000011,124-2,Non-classé,—,—,#FFA500 
786,5,110000011100,124-3,Non-classé,—,—,#FFA500 
787,5,110011000001,124-4,Non-classé,—,—,#FFA500 
788,5,111001100000,124-5,Non-classé,—,—,#FFA500 
789,5,100000101110,125-1,"7(11#,13b) sans 1! • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
790,5,100000101110,125-1,Non-classé,—,—,#FFA500 
791,5,101000001011,125-2,Non-classé,—,—,#FFA500 
792,5,101110100000,125-3,"7,5b,5# sans 1! • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
793,5,110100000101,125-4,Non-classé,—,—,#FFA500 
794,5,111010000010,125-5,Non-classé,—,—,#FFA500 
795,5,100001000111,126-1,Non-classé,—,—,#FFA500 
796,5,100011110000,126-2,Non-classé,—,—,#FFA500 
797,5,110000100011,126-3,Non-classé,—,—,#FFA500 
798,5,111000010001,126-4,Non-classé,—,—,#FFA500 
799,5,111100001000,126-5,Non-classé,—,—,#FFA500 
800,5,100001111000,127-1,Non-classé,—,—,#FFA500 
801,5,100010000111,127-2,Non-classé,—,—,#FFA500 
802,5,110001000011,127-3,Non-classé,—,—,#FFA500 
803,5,111000100001,127-4,Non-classé,—,—,#FFA500 
804,5,111100010000,127-5,Non-classé,—,—,#FFA500 
805,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6","7(9,11#,13b) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
806,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6","7,5#(9,11#) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
807,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6","7,5b(9,13b) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
808,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6","7(9,11#,13b) sans 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFA500 
809,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6",Par tons,mode classique occidental,Gammes / modes classiques,#FFA500 
810,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6",Bitonal augmenté,mode extrapolé (harmonie),Gammes / modes extrapolés,#FFA500 
811,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6",Unitonique,mode moderne occidental,Gammes / modes modernes,#FFA500 
812,6,101010101010,"128-1
128-2
128-3
128-4
128-5
128-6",Claude Debussy,mode signature compositeur,Gammes / modes signature,bicolore
813,5,100000011011,129-1,Non-classé,—,—,#FFA500 
814,5,101110000001,129-2,Non-classé,—,—,#FFA500 
815,5,110000001101,129-3,Non-classé,—,—,#FFA500 
816,5,110111000000,129-4,Non-classé,—,—,#FFA500 
817,5,111000000110,129-5,Non-classé,—,—,#FFA500 
818,5,100000100111,130-1,Non-classé,—,—,#FFA500 
819,5,100111100000,130-2,Non-classé,—,—,#FFA500 
820,5,110000010011,130-3,Non-classé,—,—,#FFA500 
821,5,111000001001,130-4,Non-classé,—,—,#FFA500 
822,5,111100000100,130-5,Non-classé,—,—,#FFA500 
823,5,100000011101,131-1,Non-classé,—,—,#FFA500 
824,5,101100000011,131-2,Non-classé,—,—,#FFA500 
825,5,110000001110,131-3,Non-classé,—,—,#FFA500 
826,5,110110000001,131-4,Non-classé,—,—,#FFA500 
827,5,111011000000,131-5,Non-classé,—,—,#FFA500 
828,5,100000111100,132-1,Non-classé,—,—,#FFA500 
829,5,100100000111,132-2,Non-classé,—,—,#FFA500 
830,5,110010000011,132-3,Non-classé,—,—,#FFA500 
831,5,111001000001,132-4,Non-classé,—,—,#FFA500 
832,5,111100100000,132-5,Non-classé,—,—,#FFA500 
833,5,100000110101,133-1,"7(11,13) sans 1! • mixolydien",chiffrage harmonique modal dominante,Accords modaux dominante,#FFA500 
834,5,100000110101,133-1,Non-classé,—,—,#FFA500 
835,5,101011000001,133-2,Non-classé,—,—,#FFA500 
